date,region,disease,cases,vaccinations
2024-01-20,South,COVID,22.0,86
2024-01-20,East,Flu,49.0,27
2024-01-20,East,Malaria,48.0,97
2024-01-20,East,COVID,32.0,35
2024-01-20,West,Flu,38.0,104
2024-01-20,West,Malaria,58.0,101
2024-01-20,West,COVID,25.0,38
2024-01-20,Central,Flu,41.0,21
2024-01-20,Central,Malaria,73.0,30
2024-01-20,Central,COVID,26.0,106
2024-01-21,North,Flu,0.0,28
2024-01-21,North,Malaria,58.0,105
2024-01-21,North,COVID,35.0,49
2024-01-21,South,Flu,40.0,115
2024-01-21,South,Malaria,58.0,33
2024-01-21,South,COVID,34.0,44
2024-01-21,East,Flu,35.0,23
2024-01-21,East,Malaria,50.0,117
2024-01-21,East,COVID,26.0,37
2024-01-21,West,Flu,40.0,60
2024-01-21,West,Malaria,55.0,44
2024-01-21,West,COVID,30.0,105
2024-01-21,Central,Flu,48.0,31
2024-01-21,Central,Malaria,63.0,29
2024-01-21,Central,COVID,39.0,111
2024-01-22,North,Flu,45.0,21
2024-01-22,North,Malaria,51.0,70
2024-01-22,North,COVID,21.0,48
2024-01-22,South,Flu,38.0,55
2024-01-22,South,Malaria,65.0,118
2024-01-22,South,COVID,42.0,43
2024-01-22,East,Flu,52.0,52
2024-01-22,East,Malaria,54.0,102
2024-01-22,East,COVID,31.0,81
2024-01-22,West,Flu,55.0,92
2024-01-22,West,Malaria,67.0,92
2024-01-22,West,COVID,27.0,80
2024-01-22,Central,Flu,44.0,58
2024-01-22,Central,Malaria,46.0,63
2024-01-22,Central,COVID,46.0,31
2024-01-23,North,Flu,37.0,68
2024-01-23,North,Malaria,59.0,81
2024-01-23,North,COVID,43.0,114
2024-01-23,South,Flu,46.0,99
2024-01-23,South,Malaria,69.0,108
2024-01-23,South,COVID,32.0,45
2024-01-23,East,Flu,51.0,104
2024-01-23,East,Malaria,59.0,98
2024-01-23,East,COVID,33.0,67
2024-01-23,West,Flu,31.0,112
2024-01-23,West,Malaria,59.0,58
2024-01-23,West,COVID,29.0,36
2024-01-23,Central,Flu,43.0,79
2024-01-23,Central,Malaria,60.0,62
2024-01-23,Central,COVID,27.0,58
2024-01-24,North,Flu,36.0,112
2024-01-24,North,Malaria,64.0,52
2024-01-24,North,COVID,38.0,85
2024-01-24,South,Flu,40.0,118
2024-01-24,South,Malaria,46.0,48
2024-01-24,South,COVID,35.0,76
2024-01-24,East,Flu,41.0,29
2024-01-24,East,Malaria,48.0,103
2024-01-24,East,COVID,34.0,22
2024-01-24,West,Flu,39.0,87
2024-01-24,West,Malaria,65.0,67
2024-01-24,West,COVID,29.0,107
2024-01-24,Central,Flu,46.0,89
2024-01-24,Central,Malaria,62.0,117
2024-01-24,Central,COVID,32.0,93
2024-01-25,North,Flu,25.0,60
2024-01-25,North,Malaria,52.0,25
2024-01-25,North,COVID,35.0,106
2024-01-25,South,Flu,38.0,81
2024-01-25,South,Malaria,59.0,108
2024-01-25,South,COVID,31.0,117
2024-01-25,East,Flu,39.0,111
2024-01-25,East,Malaria,59.0,117
2024-01-25,East,COVID,33.0,78
2024-01-25,West,Flu,36.0,57
2024-01-25,West,Malaria,54.0,109
2024-01-25,West,COVID,38.0,77
2024-01-25,Central,Flu,41.0,59
2024-01-25,Central,Malaria,61.0,25
2024-01-25,Central,COVID,30.0,111
2024-01-26,North,Flu,44.0,108
2024-01-26,North,Malaria,74.0,46
2024-01-26,North,COVID,34.0,64
2024-01-26,South,Flu,48.0,42
2024-01-26,South,Malaria,66.0,85
2024-01-26,South,COVID,26.0,36
2024-01-26,East,Flu,31.0,83
2024-01-26,East,Malaria,61.0,89
2024-01-26,East,COVID,26.0,115
2024-01-26,West,Flu,47.0,98
2024-01-26,West,Malaria,75.0,87
2024-01-26,West,COVID,24.0,87
2024-01-26,Central,Flu,36.0,41
2024-01-26,Central,Malaria,65.0,41
2024-01-26,Central,COVID,32.0,69
2024-01-27,North,Flu,39.0,71
2024-01-27,North,Malaria,66.0,30
2024-01-27,North,COVID,36.0,51
2024-01-27,South,Flu,45.0,45
2024-01-27,South,Malaria,51.0,23
2024-01-27,South,COVID,29.0,58
2024-01-27,East,Flu,40.0,94
2024-01-27,East,Malaria,53.0,97
2024-01-27,East,COVID,25.0,86
2024-01-27,West,Flu,54.0,111
2024-01-27,West,Malaria,66.0,20
2024-01-27,West,COVID,27.0,53
2024-01-27,Central,Flu,34.0,44
2024-01-27,Central,Malaria,65.0,99
2024-01-27,Central,COVID,31.0,108
2024-01-28,North,Flu,48.0,98
2024-01-28,North,Malaria,59.0,90
2024-01-28,North,COVID,32.0,72
2024-01-28,South,Flu,33.0,113
2024-01-28,South,Malaria,49.0,103
2024-01-28,South,COVID,29.0,79
2024-01-28,East,Flu,28.0,21
2024-01-28,East,Malaria,67.0,96
2024-01-28,East,COVID,23.0,113
2024-01-28,West,Flu,38.0,114
2024-01-28,West,Malaria,65.0,108
2024-01-28,West,COVID,22.0,65
2024-01-28,Central,Flu,32.0,105
2024-01-28,Central,Malaria,53.0,59
2024-01-28,Central,COVID,30.0,96
2024-01-29,North,Flu,37.0,57
2024-01-29,North,Malaria,61.0,34
2024-01-29,North,COVID,25.0,68
2024-01-29,South,Flu,54.0,25
2024-01-29,South,Malaria,62.0,114
2024-01-29,South,COVID,31.0,27
2024-01-29,East,Flu,54.0,103
2024-01-29,East,Malaria,56.0,26
2024-01-29,East,COVID,33.0,25
2024-01-29,West,Flu,47.0,22
2024-01-29,West,Malaria,40.0,33
2024-01-29,West,COVID,21.0,106
2024-01-29,Central,Flu,43.0,38
2024-01-29,Central,Malaria,52.0,74
2024-01-29,Central,COVID,17.0,89
2024-01-30,North,Flu,44.0,115
2024-01-30,North,Malaria,61.0,47
2024-01-30,North,COVID,25.0,112
2024-01-30,South,Flu,38.0,26
2024-01-30,South,Malaria,59.0,50
2024-01-30,South,COVID,29.0,56
2024-01-30,East,Flu,37.0,39
2024-01-30,East,Malaria,60.0,70
2024-01-30,East,COVID,31.0,117
2024-01-30,West,Flu,40.0,53
2024-01-30,West,Malaria,67.0,77
2024-01-30,West,COVID,39.0,37
2024-01-30,Central,Flu,42.0,118
2024-01-30,Central,Malaria,67.0,113
2024-01-30,Central,COVID,24.0,97
2024-01-31,North,Flu,40.0,57
2024-01-31,North,Malaria,60.0,79
2024-01-31,North,COVID,28.0,108
2024-01-31,South,Flu,43.0,36
2024-01-31,South,Malaria,54.0,84
2024-01-31,South,COVID,35.0,64
2024-01-31,East,Flu,35.0,29
2024-01-31,East,Malaria,46.0,93
2024-01-31,East,COVID,29.0,20
2024-01-31,West,Flu,39.0,95
2024-01-31,West,Malaria,65.0,103
2024-01-31,West,COVID,28.0,66
2024-01-31,Central,Flu,43.0,63
2024-01-31,Central,Malaria,59.0,25
2024-01-31,Central,COVID,25.0,97
2024-02-01,North,Flu,27.0,39
2024-02-01,North,Malaria,43.0,54
2024-02-01,North,COVID,29.0,88
2024-02-01,South,Flu,30.0,31
2024-02-01,South,Malaria,81.0,117
2024-02-01,South,COVID,31.0,62
2024-02-01,East,Flu,40.0,103
2024-02-01,East,Malaria,50.0,71
2024-02-01,East,COVID,33.0,27
2024-02-01,West,Flu,59.0,27
2024-02-01,West,Malaria,51.0,105
2024-02-01,West,COVID,26.0,109
2024-02-01,Central,Flu,38.0,101
2024-02-01,Central,Malaria,63.0,95
2024-02-01,Central,COVID,22.0,87
2024-02-02,North,Flu,43.0,99
2024-02-02,North,Malaria,68.0,109
2024-02-02,North,COVID,27.0,83
2024-02-02,South,Flu,38.0,92
2024-02-02,South,Malaria,47.0,94
2024-02-02,South,COVID,37.0,23
2024-02-02,East,Flu,43.0,101
2024-02-02,East,Malaria,70.0,94
2024-02-02,East,COVID,28.0,90
2024-02-02,West,Flu,37.0,40
2024-02-02,West,Malaria,57.0,52
2024-02-02,West,COVID,25.0,63
2024-02-02,Central,Flu,33.0,85
2024-02-02,Central,Malaria,59.0,45
2024-02-02,Central,COVID,42.0,47
2024-02-03,North,Flu,38.0,56
2024-02-03,North,Malaria,54.0,62
2024-02-03,North,COVID,38.0,94
2024-02-03,South,Flu,38.0,32
2024-02-03,South,Malaria,57.0,87
2024-02-03,South,COVID,26.0,46
2024-02-03,East,Flu,52.0,27
2024-02-03,East,Malaria,56.0,37
2024-02-03,East,COVID,36.0,26
2024-02-03,West,Flu,43.0,32
2024-02-03,West,Malaria,52.0,61
2024-02-03,West,COVID,29.0,73
2024-02-03,Central,Flu,41.0,66
2024-02-03,Central,Malaria,78.0,40
2024-02-03,Central,COVID,38.0,28
2024-02-04,North,Flu,43.0,61
2024-02-04,North,Malaria,72.0,45
2024-02-04,North,COVID,26.0,43
2024-02-04,South,Flu,47.0,93
2024-02-04,South,Malaria,68.0,93
2024-02-04,South,COVID,29.0,66
2024-02-04,East,Flu,35.0,52
2024-02-04,East,Malaria,53.0,67
2024-02-04,East,COVID,27.0,90
2024-02-04,West,Flu,41.0,97
2024-02-04,West,Malaria,63.0,44
2024-02-04,West,COVID,33.0,58
2024-02-04,Central,Flu,44.0,43
2024-02-04,Central,Malaria,50.0,109
2024-02-04,Central,COVID,27.0,55
2024-02-05,North,Flu,34.0,89
2024-02-05,North,Malaria,57.0,68
2024-02-05,North,COVID,36.0,63
2024-02-05,South,Flu,35.0,91
2024-02-05,South,Malaria,63.0,77
2024-02-05,South,COVID,27.0,106
2024-02-05,East,Flu,38.0,54
2024-02-05,East,Malaria,65.0,27
2024-02-05,East,COVID,31.0,88
2024-02-05,West,Flu,33.0,74
2024-02-05,West,Malaria,61.0,74
2024-02-05,West,COVID,34.0,31
2024-02-05,Central,Flu,38.0,24
2024-02-05,Central,Malaria,66.0,84
2024-02-05,Central,COVID,36.0,89
2024-02-06,North,Flu,35.0,51
2024-02-06,North,Malaria,50.0,57
2024-02-06,North,COVID,24.0,55
2024-02-06,South,Flu,36.0,85
2024-02-06,South,Malaria,57.0,92
2024-02-06,South,COVID,30.0,81
2024-02-06,East,Flu,39.0,74
2024-02-06,East,Malaria,51.0,34
2024-02-06,East,COVID,28.0,49
2024-02-06,West,Flu,44.0,26
2024-02-06,West,Malaria,55.0,40
2024-02-06,West,COVID,31.0,85
2024-02-06,Central,Flu,32.0,55
2024-02-06,Central,Malaria,62.0,99
2024-02-06,Central,COVID,35.0,22
2024-02-07,North,Flu,43.0,40
2024-02-07,North,Malaria,56.0,37
2024-02-07,North,COVID,26.0,51
2024-02-07,South,Flu,34.0,79
2024-02-07,South,Malaria,57.0,24
2024-02-07,South,COVID,35.0,21
2024-02-07,East,Flu,40.0,50
2024-02-07,East,Malaria,54.0,92
2024-02-07,East,COVID,35.0,26
2024-02-07,West,Flu,44.0,23
2024-02-07,West,Malaria,63.0,71
2024-02-07,West,COVID,24.0,57
2024-02-07,Central,Flu,39.0,82
2024-02-07,Central,Malaria,59.0,26
2024-02-07,Central,COVID,30.0,90
2024-02-08,North,Flu,45.0,74
2024-02-08,North,Malaria,58.0,98
2024-02-08,North,COVID,31.0,58
2024-02-08,South,Flu,42.0,109
2024-02-08,South,Malaria,60.0,79
2024-02-08,South,COVID,32.0,74
2024-02-08,East,Flu,32.0,53
2024-02-08,East,Malaria,56.0,118
2024-02-08,East,COVID,28.0,57
2024-02-08,West,Flu,38.0,83
2024-02-08,West,Malaria,67.0,20
2024-02-08,West,COVID,35.0,116
2024-02-08,Central,Flu,47.0,79
2024-02-08,Central,Malaria,67.0,53
2024-02-08,Central,COVID,28.0,68
2024-02-09,North,Flu,42.0,107
2024-02-09,North,Malaria,71.0,63
2024-02-09,North,COVID,30.0,96
2024-02-09,South,Flu,43.0,118
2024-02-09,South,Malaria,66.0,119
2024-02-09,South,COVID,27.0,26
2024-02-09,East,Flu,46.0,77
2024-02-09,East,Malaria,48.0,115
2024-02-09,East,COVID,20.0,115
2024-02-09,West,Flu,40.0,27
2024-02-09,West,Malaria,67.0,85
2024-02-09,West,COVID,33.0,55
2024-02-09,Central,Flu,42.0,60
2024-02-09,Central,Malaria,80.0,29
2024-02-09,Central,COVID,35.0,21
2024-02-10,North,Flu,42.0,114
2024-02-10,North,Malaria,60.0,117
2024-02-10,North,COVID,23.0,59
2024-02-10,South,Flu,42.0,78
2024-02-10,South,Malaria,61.0,41
2024-02-10,South,COVID,33.0,40
2024-02-10,East,Flu,36.0,58
2024-02-10,East,Malaria,54.0,40
2024-02-10,East,COVID,31.0,115
2024-02-10,West,Flu,33.0,108
2024-02-10,West,Malaria,75.0,101
2024-02-10,West,COVID,22.0,71
2024-02-10,Central,Flu,47.0,42
2024-02-10,Central,Malaria,69.0,62
2024-02-10,Central,COVID,34.0,22
2024-02-11,North,Flu,36.0,48
2024-02-11,North,Malaria,48.0,44
2024-02-11,North,COVID,34.0,77
2024-02-11,South,Flu,30.0,117
2024-02-11,South,Malaria,53.0,65
2024-02-11,South,COVID,32.0,60
2024-02-11,East,Flu,38.0,55
2024-02-11,East,Malaria,57.0,114
2024-02-11,East,COVID,27.0,77
2024-02-11,West,Flu,37.0,39
2024-02-11,West,Malaria,67.0,45
2024-02-11,West,COVID,28.0,40
2024-02-11,Central,Flu,33.0,36
2024-02-11,Central,Malaria,62.0,33
2024-02-11,Central,COVID,34.0,77
2024-02-12,North,Flu,41.0,43
2024-02-12,North,Malaria,64.0,50
2024-02-12,North,COVID,32.0,43
2024-02-12,South,Flu,37.0,50
2024-02-12,South,Malaria,68.0,64
2024-02-12,South,COVID,23.0,74
2024-02-12,East,Flu,35.0,111
2024-02-12,East,Malaria,75.0,36
2024-02-12,East,COVID,32.0,66
2024-02-12,West,Flu,31.0,97
2024-02-12,West,Malaria,66.0,109
2024-02-12,West,COVID,31.0,80
2024-02-12,Central,Flu,44.0,89
2024-02-12,Central,Malaria,60.0,38
2024-02-12,Central,COVID,26.0,88
2024-02-13,North,Flu,47.0,68
2024-02-13,North,Malaria,58.0,119
2024-02-13,North,COVID,23.0,58
2024-02-13,South,Flu,40.0,76
2024-02-13,South,Malaria,53.0,76
2024-02-13,South,COVID,34.0,55
2024-02-13,East,Flu,25.0,26
2024-02-13,East,Malaria,54.0,29
2024-02-13,East,COVID,26.0,108
2024-02-13,West,Flu,46.0,64
2024-02-13,West,Malaria,69.0,101
2024-02-13,West,COVID,39.0,87
2024-02-13,Central,Flu,36.0,89
2024-02-13,Central,Malaria,72.0,94
2024-02-13,Central,COVID,41.0,33
2024-02-14,North,Flu,35.0,109
2024-02-14,North,Malaria,52.0,108
2024-02-14,North,COVID,24.0,87
2024-02-14,South,Flu,38.0,105
2024-02-14,South,Malaria,61.0,80
2024-02-14,South,COVID,25.0,62
2024-02-14,East,Flu,28.0,36
2024-02-14,East,Malaria,63.0,117
2024-02-14,East,COVID,30.0,21
2024-02-14,West,Flu,43.0,93
2024-02-14,West,Malaria,59.0,58
2024-02-14,West,COVID,31.0,59
2024-02-14,Central,Flu,31.0,118
2024-02-14,Central,Malaria,52.0,39
2024-02-14,Central,COVID,31.0,105
2024-02-15,North,Flu,43.0,33
2024-02-15,North,Malaria,54.0,77
2024-02-15,North,COVID,34.0,85
2024-02-15,South,Flu,28.0,91
2024-02-15,South,Malaria,55.0,118
2024-02-15,South,COVID,22.0,108
2024-02-15,East,Flu,38.0,88
2024-02-15,East,Malaria,81.0,93
2024-02-15,East,COVID,21.0,60
2024-02-15,West,Flu,41.0,74
2024-02-15,West,Malaria,63.0,101
2024-02-15,West,COVID,24.0,31
2024-02-15,Central,Flu,33.0,22
2024-02-15,Central,Malaria,72.0,52
2024-02-15,Central,COVID,32.0,27
2024-02-16,North,Flu,49.0,23
2024-02-16,North,Malaria,70.0,30
2024-02-16,North,COVID,33.0,23
2024-02-16,South,Flu,43.0,88
2024-02-16,South,Malaria,61.0,44
2024-02-16,South,COVID,36.0,24
2024-02-16,East,Flu,36.0,25
2024-02-16,East,Malaria,65.0,30
2024-02-16,East,COVID,38.0,92
2024-02-16,West,Flu,37.0,22
2024-02-16,West,Malaria,71.0,40
2024-02-16,West,COVID,22.0,52
2024-02-16,Central,Flu,35.0,60
2024-02-16,Central,Malaria,66.0,94
2024-02-16,Central,COVID,32.0,41
2024-02-17,North,Flu,45.0,113
2024-02-17,North,Malaria,50.0,85
2024-02-17,North,COVID,27.0,66
2024-02-17,South,Flu,33.0,20
2024-02-17,South,Malaria,69.0,82
2024-02-17,South,COVID,27.0,66
2024-02-17,East,Flu,36.0,118
2024-02-17,East,Malaria,66.0,33
2024-02-17,East,COVID,38.0,28
2024-02-17,West,Flu,46.0,101
